"","Sample.tag.","Subspp.Prov.ID","STATE","Subspecies","subsppcyt","x","y","size_t","growth","census","surv","growth_std"
"1",1,"ORW-2-1","OR","T","T2n",1,26.5,0.001204277184,NA,1,1,NA
"2",2,"CAV-2-4","CA","V","V2n",2,26.5,0.000472495535,NA,1,1,NA
"3",3,"NVV-1-10","NV","V","V2n",3,26.5,0.001575445884,NA,1,1,NA
"4",4,"UTW-1-7","UT","W","W4n",4,26.5,0.00059885039175,NA,1,1,NA
"5",5,"WAT-1-5","WA","T","T2n",5,26.5,0.0053016260975,NA,1,1,NA
"6",6,"CAV-1-6","CA","AR","AR",6,26.5,0.0010325786735,NA,1,1,NA
"7",7,"IDT-1-3","ID","T","T2n",7,26.5,0.00805374504,NA,1,1,NA
"8",8,"ORW-2-10","OR","T","T2n",8,26.5,0.00126996788625,NA,1,1,NA
"9",9,"ORT-1-7","OR","T","T2n",9,26.5,0.00246091424525,NA,1,1,NA
"10",10,"CAT-1-4","CA","T","T2n",10,26.5,0.027042976175,NA,1,1,NA
"11",11,"UTT-2-2","UT","T","T2n",11,26.5,0.008486541315,NA,1,1,NA
"12",12,"UTV-2-9","UT","W","W4n",12,26.5,0.002872420995,NA,1,1,NA
"13",13,"NMT-2-3","NM","T","T4n",13,26.5,0.00401336367,NA,1,1,NA
"14",14,"IDT-1-1","ID","T","T2n",14,26.5,0.003828334335,NA,1,1,NA
"15",15,"AZW-1-1","AZ","T","T4n",15,26.5,0.0105688831725,NA,1,1,NA
"16",16,"ORT-3-2","OR","T","T2n",16,26.5,0.001015258026,NA,1,1,NA
"17",17,"ORT-3-6","OR","T","T2n",17,26.5,0.005843362335,NA,1,1,NA
"18",18,"NVV-1-1","NV","V","V2n",18,26.5,0.0027015811875,NA,1,1,NA
"19",19,"ORW-2-9","OR","T","T2n",19,26.5,0.00050967104825,NA,1,1,NA
"20",20,"UTW-1-3","UT","W","W4n",20,26.5,0.00116801273275,NA,1,1,NA
"21",21,"AZT-1-9","AZ","T","T4n",21,26.5,0.0064348614,NA,1,1,NA
"22",22,"ORT-2-7","OR","T","T2n",22,26.5,0.060418921425,NA,1,1,NA
"23",23,"IDT-3-7","ID","T","T2n",23,26.5,0.01905972847,NA,1,1,NA
"24",24,"CAT-2-3","CA","T","T2n",24,26.5,0.045169672575,NA,1,1,NA
"25",25,"ORT-2-5","OR","T","T2n",25,26.5,0.0180627964025,NA,1,1,NA
"26",26,"COW-1-2","CO","W","W4n",26,26.5,0.017508284355,NA,1,1,NA
"27",27,"CAT-2-6","CA","T","T2n",26,25,0.0403153988,NA,1,1,NA
"28",28,"UTV-1-2","UT","V","V2n",25,25,0.002785587375,NA,1,1,NA
"29",29,"CAV-4-5","CA","V","V4n",24,25,0.0184305721825,NA,1,1,NA
"30",30,"WAW-3-7","WA","W","W4n",23,25,0.00268134933,NA,1,1,NA
"31",31,"MTV-1-2","MT","V","V2n",22,25,0.0006865427145,NA,1,1,NA
"32",32,"AZT-1-8","AZ","T","T4n",21,25,0.00100735168425,NA,1,1,NA
"33",33,"ORT-1-4","OR","T","T2n",20,25,0.00088682971825,NA,1,1,NA
"34",34,"UTT-2-7","UT","T","T2n",19,25,0.0053445821425,NA,1,1,NA
"35",35,"UTV-2-3","UT","W","W4n",18,25,0.0041893138025,NA,1,1,NA
"36",36,"NVT-1-6","NV","T","T2n",17,25,0.015209821865,NA,1,1,NA
"37",37,"CAV-2-6","CA","V","V2n",16,25,0.00046883034375,NA,1,1,NA
"38",38,"CAW-3-1","CA","V","V2n",15,25,0.01013630681,NA,1,1,NA
"39",39,"NVT-1-8","NV","T","T2n",14,25,0.0067089758325,NA,1,1,NA
"40",40,"IDW-3-3","ID","W","W4n",13,25,0.00031785587275,NA,1,1,NA
"41",41,"ORW-1-4","OR","W","W4n",12,25,0.00117076686225,NA,1,1,NA
"42",42,"NVW-1-3","NV","T","T2n",11,25,0.0068062814275,NA,1,1,NA
"43",43,"IDT-3-6","ID","T","T2n",10,25,0.0101722675725,NA,1,1,NA
"44",44,"NMT-2-4","NM","T","T4n",9,25,0.0091910434675,NA,1,1,NA
"45",45,"WAW-3-2","WA","W","W4n",8,25,0.0061457092125,NA,1,1,NA
"46",46,"NMT-1-5","NM","T","T4n",7,25,0.00638311937,NA,1,1,NA
"47",47,"ORW-1-2","OR","W","W4n",6,25,0.00250127324,NA,1,1,NA
"48",48,"IDV-3-1","ID","V","V2n",5,25,0.0008277049445,NA,1,1,NA
"49",49,"COW-1-4","CO","W","W4n",4,25,0.0103066439625,NA,1,1,NA
"50",50,"ORW-2-2","OR","T","T2n",3,25,0.000733813212,NA,1,1,NA
"51",51,"IDV-2-8","ID","V","V2n",2,25,0.00220709450275,NA,1,1,NA
"52",52,"UTT-3-5","UT","T","T2n",1,25,0.012229183475,NA,1,1,NA
"53",53,"IDT-3-5","ID","T","T2n",1,23.5,0.00109055152975,NA,1,1,NA
"54",54,"MTW-2-3","MT","W","W4n",2,23.5,0.0002926917155,NA,1,1,NA
"55",55,"WAT-2-8","WA","T","T4n",3,23.5,0.00139486713825,NA,1,1,NA
"56",56,"IDV-5-1","ID","V","V2n",4,23.5,0.0013562883805,NA,1,1,NA
"57",57,"IDT-2-9","ID","T","T2n",5,23.5,0.0057704564425,NA,1,1,NA
