Sample.tag.,Subspp.Prov.ID,Pop,Height10_10,Crown10_10,Ellip_vol10_10,Height5_11,Crown7_11,Ellip_vol11,Height5_12,Crown5_12,Ellip_vol12,2yr_grw_vol_cm,2yr_grw_vol_m,y2011,y2012,y2011_m,y2012_m
1,ORW-2-1,ORW-2-1,12.5,92,4817.108736,7.4,1067.508,33089.5962,60.6,8130.43,2063833.932,2092106.419,2.092106419,33089.5962,2030744.336,0.033089596,2.030744336
2,CAV-2-4,CAV-2-4,16,28.2,1889.98214,14.1,1837.847,108546.8127,49,4949.272,1015841.642,1122498.472,1.122498472,108546.8127,907294.8289,0.108546813,0.907294829
3,NVV-1-10,NVV-1-10,10.8,139.3,6301.783536,12.6,3894.757,205560.4316,51.1,5976.24,1279197.316,1478455.964,1.478455964,205560.4316,1073636.884,0.205560432,1.073636884
4,UTW-1-7,UTW-1-7,16.2,35.3,2395.401567,8.3,535.129,18604.80784,47.5,2444.07,486290.5826,502499.9889,0.502499989,18604.80784,467685.7748,0.018604808,0.467685775
5,WAT-1-5,WAT-1-5,34.3,147.6,21206.50439,15.9,2162.978,144058.1508,92.1,8199.97,3163446.565,3286298.211,3.286298211,144058.1508,3019388.414,0.144058151,3.019388414
6,CAV-1-6,CAV-1-6,10.8,91.3,4130.314694,10.8,867.191,39230.7966,25.3,2297.623,243493.7961,278594.278,0.278594278,39230.7966,204262.9995,0.039230797,0.204263
7,IDT-1-3,IDT-1-3,30.8,249.7,32214.98016,14.2,1928.766,114724.585,87.5,9412.428,3449835.043,3532344.648,3.532344648,114724.585,3335110.458,0.114724585,3.335110458
8,ORW-2-10,ORW-2-10,17.3,70.1,5079.871545,8.8,817.631,30138.98557,54.4,3567.722,812977.4798,838036.5938,0.838036594,30138.98557,782838.4942,0.030138986,0.782838494
9,ORT-1-7,ORT-1-7,25,94,9843.656981,12.2,1471.662,75206.69712,57.5,2936.452,707260.429,772623.4692,0.772623469,75206.69712,632053.7319,0.075206697,0.632053732
10,CAT-1-4,CAT-1-4,42.1,613.4,108171.9047,17.6,5230.576,385612.225,90.3,13285.158,5025081.195,5302521.515,5.302521515,385612.225,4639468.97,0.385612225,4.63946897
11,UTT-2-2,UTT-2-2,40.5,200.1,33946.16526,18.5,1506.459,116739.453,97,6462.877,2625948.68,2708741.967,2.708741967,116739.453,2509209.227,0.116739453,2.509209227
12,UTV-2-9,UTV-2-9,26.4,103.9,11489.68398,12,904.747,45477.54446,57.3,1703.617,408898.1978,442886.0583,0.442886058,45477.54446,363420.6533,0.045477544,0.363420653
13,NMT-2-3,NMT-2-3,27.2,140.9,16053.45468,14.9,1177.504,73491.5266,65,6144.982,1673102.627,1730540.699,1.730540699,73491.5266,1599611.1,0.073491527,1.5996111
14,IDT-1-1,IDT-1-1,27.1,134.9,15313.33734,13.4,2311.752,129758.1514,74.3,6240.109,1942091.104,2056535.918,2.056535918,129758.1514,1812332.953,0.129758151,1.812332953
15,AZW-1-1,AZW-1-1,35.4,285.1,42275.53269,16.6,1891.423,131518.0506,59.7,7306.469,1827134.367,1916376.885,1.916376885,131518.0506,1695616.316,0.131518051,1.695616316
16,ORT-3-2,ORT-3-2,17.5,55.4,4061.032104,11.5,1140.83,54955.02159,42.3,3686.006,653108.0165,704002.006,0.704002006,54955.02159,598152.9949,0.054955022,0.598152995
17,ORT-3-6,ORT-3-6,36,155,23373.44934,11.6,1065.386,51767.06992,69.5,7824.701,2277934.148,2306327.768,2.306327768,51767.06992,2226167.078,0.05176707,2.226167078
18,NVV-1-1,NVV-1-1,21.9,117.8,10806.32475,10.5,1729.729,76077.45487,41.6,2835.789,494146.6477,559417.7779,0.559417778,76077.45487,418069.1929,0.076077455,0.418069193
19,ORW-2-9,ORW-2-9,15.5,31.4,2038.684193,9,974.229,36727.56803,65,5355.51,1458152.009,1492840.893,1.492840893,36727.56803,1421424.441,0.036727568,1.421424441
20,UTW-1-3,UTW-1-3,24.3,45.9,4672.050931,9.7,1235.944,50217.96817,51.1,4539.926,971758.3553,1017304.273,1.017304273,50217.96817,921540.3871,0.050217968,0.921540387
21,AZT-1-9,AZT-1-9,40.4,152.1,25739.4456,14.7,1240.883,76407.63877,56.5,2015.9997,477119.8885,527788.0817,0.527788082,76407.63877,400712.2497,0.076407639,0.40071225
22,ORT-2-7,ORT-2-7,54.6,1056.7,241675.6857,21.1,3008.255,265880.0255,95.3,7358.809,2937575.523,2961779.862,2.961779862,265880.0255,2671695.497,0.265880026,2.671695497
23,IDT-3-7,IDT-3-7,48.6,374.5,76238.91388,18,1092.246,82353.40823,57.8,6493.931,1572259.102,1578373.596,1.578373596,82353.40823,1489905.694,0.082353408,1.489905694
24,CAT-2-3,CAT-2-3,51.8,832.7,180678.6903,24,4329.673,435266.2045,80.5,9283.711,3130445.175,3385032.689,3.385032689,435266.2045,2695178.97,0.435266204,2.69517897
25,ORT-2-5,ORT-2-5,41,420.7,72251.18561,15.8,1741.775,115275.6949,89.6,10514.111,3946109.903,3989134.412,3.989134412,115275.6949,3830834.208,0.115275695,3.830834208
26,COW-1-2,COW-1-2,40.2,415.9,70033.13742,18.4,3725.987,287175.7524,62.3,5178.589,1351413.025,1568555.64,1.56855564,287175.7524,1064237.273,0.287175752,1.064237273
27,CAT-2-6,CAT-2-6,49.3,780.9,161261.5952,15.3,1724.006,110488.9415,68,5902.873,1681360.969,1630588.315,1.630588315,110488.9415,1570872.027,0.110488942,1.570872027
28,UTV-1-2,UTV-1-2,16.2,164.2,11142.3495,12.7,2094.485,111421.6498,43.5,3660.741,667032.3079,767311.6082,0.767311608,111421.6498,555610.6581,0.11142165,0.555610658
29,CAV-4-5,CAV-4-5,43,409.3,73722.28873,13,460.738,25089.15268,74,3481.95,1079301.696,1030668.56,1.03066856,25089.15268,1054212.543,0.025089153,1.054212543
