Sample.tag.,Subspp.Prov.ID,STATE,Subspecies,subsppcyt,surv,x,y,size_t,census,time_mo,growth,dieback,Status,height_cm,width1_cm,width2_cm,repro
1,ORW-2-1,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,145,180,161,1
2,CAV-2-4,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
3,NVV-1-10,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,3,A,79,180,182,1
4,UTW-1-7,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,75,141,92,1
5,WAT-1-5,WA,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,187,205,160,1
6,CAV-1-6,CA,AR,AR,NA,NA,NA,NA,NA,NA,NA,2,A,51,112,115,1
7,IDT-1-3,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,83,156,97,1
8,ORW-2-10,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,111,122,115,1
9,ORT-1-7,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,106,144,102,1
10,CAT-1-4,CA,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,172,157,154,1
11,UTT-2-2,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,189,193,166,1
12,UTV-2-9,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,4,A,75,70,48,1
13,NMT-2-3,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,119,187,171,1
14,IDT-1-1,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,88,141,77,1
15,AZW-1-1,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,108,192,125,1
16,ORT-3-2,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,109,135,84,1
17,ORT-3-6,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,117,180,173,1
18,NVV-1-1,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
19,ORW-2-9,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,109,191,160,1
20,UTW-1-3,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,84,122,88,1
21,AZT-1-9,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,2,A,118,118,79,1
22,ORT-2-7,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,147,158,151,1
23,IDT-3-7,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,94,225,132,1
24,CAT-2-3,CA,T,T2n,NA,NA,NA,NA,NA,NA,NA,4,A,90,60,46,1
25,ORT-2-5,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,141,292,221,1
26,COW-1-2,CO,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,140,225,196,1
27,CAT-2-6,CA,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,141,220,194,1
28,UTV-1-2,UT,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,75,128,82,1
29,CAV-4-5,CA,V,V4n,NA,NA,NA,NA,NA,NA,NA,3,A,119,86,76,1
30,WAW-3-7,WA,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,105,161,141,1
31,MTV-1-2,MT,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
32,AZT-1-8,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,3,A,80,132,106,1
33,ORT-1-4,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,98,154,64,1
34,UTT-2-7,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,158,198,164,1
35,UTV-2-3,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,116,187,164,1
36,NVT-1-6,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,128,200,165,1
37,CAV-2-6,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
38,CAW-3-1,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
39,NVT-1-8,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,159,203,163,1
40,IDW-3-3,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,82,130,107,1
41,ORW-1-4,OR,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,71,133,115,1
42,NVW-1-3,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,128,133,107,1
43,IDT-3-6,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
44,NMT-2-4,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,2,A,147,137,107,1
45,WAW-3-2,WA,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,116,158,120,1
46,NMT-1-5,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,130,145,139,1
47,ORW-1-2,OR,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,65,160,128,1
48,IDV-3-1,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,1,A,52,102,96,1
49,COW-1-4,CO,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,69,133,103,1
