"","x","y","Sample.tag."
"1",1,0,1
"2",2,0,2
"3",3,0,3
"4",4,0,4
"5",5,0,5
"6",6,0,6
"7",7,0,7
"8",8,0,8
"9",9,0,9
"10",10,0,10
"11",11,0,11
"12",12,0,12
"13",13,0,13
"14",14,0,14
"15",15,0,15
"16",16,0,16
"17",17,0,17
"18",18,0,18
"19",19,0,19
"20",20,0,20
"21",21,0,21
"22",22,0,22
"23",23,0,23
"24",24,0,24
"25",25,0,25
"26",26,0,26
"27",27,0,27
"28",28,0,28
"29",1,1.5,56
"30",2,1.5,55
"31",3,1.5,54
"32",4,1.5,53
"33",5,1.5,52
"34",6,1.5,51
"35",7,1.5,50
"36",8,1.5,49
"37",9,1.5,48
"38",10,1.5,47
"39",11,1.5,46
"40",12,1.5,45
"41",13,1.5,44
"42",14,1.5,43
"43",15,1.5,42
"44",16,1.5,41
"45",17,1.5,40
"46",18,1.5,39
"47",19,1.5,38
"48",20,1.5,37
"49",21,1.5,36
"50",22,1.5,35
"51",23,1.5,34
"52",24,1.5,33
"53",25,1.5,32
"54",26,1.5,31
"55",27,1.5,30
"56",28,1.5,29
"57",1,3,57
"58",2,3,58
"59",3,3,59
"60",4,3,60
"61",5,3,61
"62",6,3,62
"63",7,3,63
"64",8,3,64
"65",9,3,65
"66",10,3,66
"67",11,3,67
"68",12,3,68
"69",13,3,69
"70",14,3,70
"71",15,3,71
"72",16,3,72
"73",17,3,73
"74",18,3,74
"75",19,3,75
"76",20,3,76
"77",21,3,77
"78",22,3,78
"79",23,3,79
"80",24,3,80
"81",25,3,81
"82",26,3,82
"83",27,3,83
"84",28,3,84
"85",1,4.5,112
"86",2,4.5,111
"87",3,4.5,110
"88",4,4.5,109
"89",5,4.5,108
"90",6,4.5,107
"91",7,4.5,106
"92",8,4.5,105
"93",9,4.5,104
"94",10,4.5,103
"95",11,4.5,102
"96",12,4.5,101
"97",13,4.5,100
"98",14,4.5,99
"99",15,4.5,98
"100",16,4.5,97
"101",17,4.5,96
"102",18,4.5,95
"103",19,4.5,94
"104",20,4.5,93
"105",21,4.5,92
"106",22,4.5,91
"107",23,4.5,90
"108",24,4.5,89
"109",25,4.5,88
"110",26,4.5,87
"111",27,4.5,86
"112",28,4.5,85
"113",1,6,113
"114",2,6,114
"115",3,6,115
"116",4,6,116
"117",5,6,117
"118",6,6,118
"119",7,6,119
"120",8,6,120
"121",9,6,121
"122",10,6,122
"123",11,6,123
"124",12,6,124
"125",13,6,125
"126",14,6,126
"127",15,6,127
"128",16,6,128
"129",17,6,129
"130",18,6,130
"131",19,6,131
"132",20,6,132
"133",21,6,133
"134",22,6,134
"135",23,6,135
"136",24,6,136
"137",25,6,137
"138",26,6,138
"139",27,6,139
"140",28,6,140
"141",1,7.5,168
"142",2,7.5,167
"143",3,7.5,166
"144",4,7.5,165
"145",5,7.5,164
"146",6,7.5,163
"147",7,7.5,162
"148",8,7.5,161
"149",9,7.5,160
"150",10,7.5,159
"151",11,7.5,158
"152",12,7.5,157
"153",13,7.5,156
"154",14,7.5,155
"155",15,7.5,154
"156",16,7.5,153
"157",17,7.5,152
"158",18,7.5,151
"159",19,7.5,150
"160",20,7.5,149
"161",21,7.5,148
"162",22,7.5,147
"163",23,7.5,146
"164",24,7.5,145
"165",25,7.5,144
"166",26,7.5,143
"167",27,7.5,142
"168",28,7.5,141
"169",1,9,169
"170",2,9,170
"171",3,9,171
"172",4,9,172
"173",5,9,173
"174",6,9,174
"175",7,9,175
"176",8,9,176
"177",9,9,177
"178",10,9,178
"179",11,9,179
"180",12,9,180
"181",13,9,181
"182",14,9,182
"183",15,9,183
"184",16,9,184
"185",17,9,185
"186",18,9,186
"187",19,9,187
"188",20,9,188
"189",21,9,189
"190",22,9,190
"191",23,9,191
"192",24,9,192
"193",25,9,193
"194",26,9,194
"195",27,9,195
"196",28,9,196
"197",1,10.5,224
"198",2,10.5,223
"199",3,10.5,222
"200",4,10.5,221
"201",5,10.5,220
"202",6,10.5,219
"203",7,10.5,218
"204",8,10.5,217
"205",9,10.5,216
"206",10,10.5,215
"207",11,10.5,214
"208",12,10.5,213
"209",13,10.5,212
"210",14,10.5,211
"211",15,10.5,210
"212",16,10.5,209
"213",17,10.5,208
"214",18,10.5,207
"215",19,10.5,206
"216",20,10.5,205
"217",21,10.5,204
"218",22,10.5,203
"219",23,10.5,202
"220",24,10.5,201
"221",25,10.5,200
"222",26,10.5,199
"223",27,10.5,198
"224",28,10.5,197
"225",1,12,225
"226",2,12,226
"227",3,12,227
"228",4,12,228
"229",5,12,229
"230",6,12,230
"231",7,12,231
"232",8,12,232
"233",9,12,233
"234",10,12,234
"235",11,12,235
"236",12,12,236
"237",13,12,237
"238",14,12,238
"239",15,12,239
"240",16,12,240
"241",17,12,241
"242",18,12,242
"243",19,12,243
"244",20,12,244
"245",21,12,245
"246",22,12,246
"247",23,12,247
"248",24,12,248
"249",25,12,249
"250",26,12,250
"251",27,12,251
"252",28,12,252
"253",1,13.5,279
"254",2,13.5,278
"255",3,13.5,277
"256",4,13.5,276
"257",5,13.5,275
"258",6,13.5,274
"259",7,13.5,273
"260",8,13.5,272
"261",9,13.5,271
"262",10,13.5,270
"263",11,13.5,269
"264",12,13.5,268
"265",13,13.5,267
"266",14,13.5,266
"267",15,13.5,265
"268",16,13.5,264
"269",17,13.5,263
"270",18,13.5,262
"271",19,13.5,261
"272",20,13.5,260
"273",21,13.5,259
"274",22,13.5,258
"275",23,13.5,257
"276",24,13.5,256
"277",25,13.5,255
"278",26,13.5,254
"279",27,13.5,253
"280",28,13.5,NA
"281",1,15,280
"282",2,15,281
"283",3,15,282
"284",4,15,283
"285",5,15,284
"286",6,15,285
"287",7,15,286
"288",8,15,287
"289",9,15,288
"290",10,15,289
"291",11,15,290
"292",12,15,291
"293",13,15,292
"294",14,15,293
"295",15,15,294
"296",16,15,295
"297",17,15,296
"298",18,15,297
"299",19,15,298
"300",20,15,299
"301",21,15,300
"302",22,15,301
"303",23,15,302
"304",24,15,303
"305",25,15,304
"306",26,15,305
"307",27,15,306
"308",28,15,NA
"309",1,16.5,333
"310",2,16.5,332
"311",3,16.5,331
"312",4,16.5,330
"313",5,16.5,329
"314",6,16.5,328
"315",7,16.5,327
"316",8,16.5,326
"317",9,16.5,325
"318",10,16.5,324
"319",11,16.5,323
"320",12,16.5,322
"321",13,16.5,321
"322",14,16.5,320
"323",15,16.5,319
"324",16,16.5,318
"325",17,16.5,317
"326",18,16.5,316
"327",19,16.5,315
"328",20,16.5,314
"329",21,16.5,313
"330",22,16.5,312
"331",23,16.5,311
"332",24,16.5,310
"333",25,16.5,309
"334",26,16.5,308
"335",27,16.5,307
"336",28,16.5,NA
"337",1,18,334
"338",2,18,335
"339",3,18,336
"340",4,18,337
"341",5,18,338
"342",6,18,339
"343",7,18,340
"344",8,18,341
"345",9,18,342
"346",10,18,343
"347",11,18,344
"348",12,18,345
"349",13,18,346
"350",14,18,347
"351",15,18,348
"352",16,18,349
"353",17,18,350
"354",18,18,351
"355",19,18,352
"356",20,18,353
"357",21,18,354
"358",22,18,355
"359",23,18,356
"360",24,18,357
"361",25,18,358
"362",26,18,359
"363",27,18,360
"364",28,18,NA
"365",1,19.5,387
"366",2,19.5,386
"367",3,19.5,385
"368",4,19.5,384
"369",5,19.5,383
"370",6,19.5,382
"371",7,19.5,381
"372",8,19.5,380
"373",9,19.5,379
"374",10,19.5,378
"375",11,19.5,377
"376",12,19.5,376
"377",13,19.5,375
"378",14,19.5,374
"379",15,19.5,373
"380",16,19.5,372
"381",17,19.5,371
"382",18,19.5,370
"383",19,19.5,369
"384",20,19.5,368
"385",21,19.5,367
"386",22,19.5,366
"387",23,19.5,365
"388",24,19.5,364
"389",25,19.5,363
"390",26,19.5,362
"391",27,19.5,361
"392",28,19.5,NA
"393",1,21,388
"394",2,21,389
"395",3,21,390
"396",4,21,391
"397",5,21,392
"398",6,21,393
"399",7,21,394
"400",8,21,395
"401",9,21,396
"402",10,21,397
"403",11,21,398
"404",12,21,399
"405",13,21,400
"406",14,21,401
"407",15,21,402
"408",16,21,403
"409",17,21,404
"410",18,21,405
"411",19,21,406
"412",20,21,407
"413",21,21,408
"414",22,21,409
"415",23,21,410
"416",24,21,411
"417",25,21,412
"418",26,21,413
"419",27,21,414
"420",28,21,NA
"421",1,22.5,441
"422",2,22.5,440
"423",3,22.5,439
"424",4,22.5,438
"425",5,22.5,437
"426",6,22.5,436
"427",7,22.5,435
"428",8,22.5,434
"429",9,22.5,433
"430",10,22.5,432
"431",11,22.5,431
"432",12,22.5,430
"433",13,22.5,429
"434",14,22.5,428
"435",15,22.5,427
"436",16,22.5,426
"437",17,22.5,425
"438",18,22.5,424
"439",19,22.5,423
"440",20,22.5,422
"441",21,22.5,421
"442",22,22.5,420
"443",23,22.5,419
"444",24,22.5,418
"445",25,22.5,417
"446",26,22.5,416
"447",27,22.5,415
"448",28,22.5,NA
"449",1,24,442
"450",2,24,443
"451",3,24,444
"452",4,24,445
"453",5,24,446
"454",6,24,447
"455",7,24,448
"456",8,24,449
"457",9,24,450
"458",10,24,451
"459",11,24,452
"460",12,24,453
"461",13,24,454
"462",14,24,455
"463",15,24,456
"464",16,24,457
"465",17,24,458
"466",18,24,459
"467",19,24,460
"468",20,24,461
"469",21,24,462
"470",22,24,463
"471",23,24,464
"472",24,24,465
"473",25,24,466
"474",26,24,467
"475",27,24,468
"476",28,24,NA
