"","Sample.tag.","Cytotype","Subspecies","volumelast","subsppcyt","x","y"
"1",1,"4n","W",NA,"W4n",1,0
"2",2,"2n","V",NA,"V2n",2,0
"3",3,"2n","V",NA,"V2n",3,0
"4",4,"2n","T",0.037538579076473,"T2n",4,0
"5",5,"2n","V",NA,"V2n",5,0
"6",6,"4n","V",0.296842212966779,"V4n",6,0
"7",7,"2n","V",NA,"V2n",7,0
"8",8,"2n","T",0.943827131065606,"T2n",8,0
"9",9,"4n","V",NA,"V4n",9,0
"10",10,"4n","T",0.212669993369019,"T4n",10,0
"11",11,"4n","V",0.0536265415378185,"V4n",11,0
"12",12,"2n","T",0.257407399381529,"T2n",12,0
"13",13,"4n","T",NA,"T4n",13,0
"14",14,"2n","V",NA,"V2n",14,0
"15",15,"2n","T",NA,"T2n",15,0
"16",16,"4n","V",NA,"V4n",16,0
"17",17,"4n","W",NA,"W4n",17,0
"18",18,"4n","W",0.181394994344163,"W4n",18,0
"19",19,"2n","V",NA,"V2n",19,0
"20",20,"2n","T",NA,"T2n",20,0
"21",21,"4n","V",NA,"V4n",21,0
"22",22,"2n","T",NA,"T2n",22,0
"23",23,"4n","T",0.289660546524034,"T4n",23,0
"24",24,"4n","V",NA,"V4n",24,0
"25",25,"2n","T",0.555999982664102,"T2n",25,0
"26",26,"2n","T",NA,"T2n",26,0
"27",27,"2n","T",NA,"T2n",27,0
"28",28,"2n","V",NA,"V2n",28,0
"29",29,"4n","T",0.122671786298591,"T4n",28,1.5
"30",30,"2n","T",1.15366564304143,"T2n",27,1.5
"31",31,"2n","T",NA,"T2n",26,1.5
"32",32,"2n","V",0.206011721971684,"V2n",25,1.5
"33",33,"2n","T",NA,"T2n",24,1.5
"34",34,"2n","V",NA,"V2n",23,1.5
"35",35,"4n","W",NA,"W4n",22,1.5
"36",36,"2n","V",0.206011721971684,"V2n",21,1.5
"37",37,"2n","T",NA,"T2n",20,1.5
"38",38,"4n","W",NA,"W4n",19,1.5
"39",39,"2n","T",0.145006168318261,"T2n",18,1.5
"40",40,"2n","T",0.620205968316502,"T2n",17,1.5
"41",41,"4n","W",NA,"W4n",16,1.5
"42",42,"2n","T",1.57766711130268,"T2n",15,1.5
"43",43,"2n","V",NA,"V2n",14,1.5
"44",44,"4n","W",0.0804398123067278,"W4n",13,1.5
"45",45,"2n","V",0.0297562953685047,"V2n",12,1.5
"46",46,"4n","T",0.411851839010446,"T4n",11,1.5
"47",47,"2n","T",NA,"T2n",10,1.5
"48",48,"2n","V",NA,"V2n",9,1.5
"49",49,"2n","T",0.909780712374076,"T2n",8,1.5
"50",50,"4n","W",NA,"W4n",7,1.5
"51",51,"4n","W",NA,"W4n",6,1.5
"52",52,"2n","T",0.297562953685047,"T2n",5,1.5
"53",53,"4n","T",0.0580024673273045,"T4n",4,1.5
"54",54,"4n","T",0.444799986131282,"T4n",3,1.5
"55",55,"2n","T",0.201807401115119,"T2n",2,1.5
"56",56,"4n","W",0.113671107566883,"W4n",1,1.5
"57",57,"4n","W",0.14479166215211,"W4n",1,3
"58",58,"2n","T",NA,"T2n",2,3
"59",59,"2n","T",0.411439987171436,"T2n",3,3
"60",60,"4n","W",0.101023824010604,"W4n",4,3
"61",61,"2n","T",0.947688242056329,"T2n",5,3
"62",62,"4n","V",0.0250972214396991,"V4n",6,3
"63",63,"4n","W",0.107973823793905,"W4n",7,3
"64",64,"4n","T",0.257887893193708,"T4n",8,3
